word,corpus_freq,cooc_with_core,p_w,p_w_given_core,pmi,lift
感謝,2189,647,0.006784567510940851,0.009354307029465344,0.3211863327831437,1.3787624656074995
残念,2691,795,0.008340461933276304,0.011494086689992192,0.3207140997325322,1.37811152211291
生酒,13607,4016,0.04217341714087353,0.05806321024780962,0.3197421519858127,1.3767727204522882
久々,3392,997,0.010513135220242744,0.014414596767197757,0.3156159088551508,1.371103525753465
インパクト,2040,598,0.0063227582102875,0.008645866466182806,0.3129258029174757,1.3674200686838653
ボトル,2563,750,0.007943739849493559,0.010843478009426597,0.31117961597139115,1.3650343811445318
スーパー,3115,909,0.009654603835806647,0.013142295347425035,0.3084007987610313,1.3612464655135161
以前,4563,1329,0.014142522408598951,0.01921464303270393,0.3064866135909489,1.3586432800008168
季節,3327,965,0.010311674787071819,0.01395194170546222,0.30234196112561534,1.353023829160551
刺し身,3689,1067,0.011433654430269896,0.01542665471474424,0.2995356895101838,1.3492321994534942
入手,2060,595,0.006384746035878554,0.0086024925541451,0.298140279567109,1.3473507804075686
普段,2404,693,0.0074509366360446805,0.010019373680710176,0.2961808393399112,1.344713311913084
美人,3014,863,0.009341565316571826,0.012477228696180204,0.2894314477020932,1.3356678750664783
摘み,2381,675,0.007379650636614969,0.009759130208483938,0.27947698019077327,1.322437970174755
朝日,1713,483,0.005309257261873768,0.006983199838070728,0.27405529113355886,1.3152875239664286
写真,2190,617,0.006787666902220404,0.008920567909088281,0.27325233689994755,1.314231832173461
燦々,1710,480,0.0052999590880351095,0.006939825926033022,0.2695775902103373,1.3094112257771922
毎年,2230,624,0.006911642553402512,0.009021773703842929,0.2664336397203693,1.3053009663240798
美味しい,63616,17757,0.1971708756400243,0.2567301853511841,0.26395492914769486,1.3020695095958161
全国,1932,538,0.005988023952095809,0.007778388225428679,0.2615876811944272,1.2989908336465894
栄光,1972,548,0.006111999603277916,0.007922967932221034,0.25951188759054095,1.2962971934703464
